"domain","year","hospital_name","region","service_line","sex","age_band","activity"
"community",2020,"Hospital one","North","Dermatology","Male","M.060-064",592645
"community",2020,"Hospital one","North","Dermatology","Male","N.065-069",711921
"community",2020,"Hospital one","North","Dermatology","Male","O.070-074",1019333
"community",2020,"Hospital one","North","Dermatology","Male","P.075-079",829191
"community",2020,"Hospital one","North","Dermatology","Male","Q.080-084",653548
"community",2020,"Hospital one","North","Dermatology","Male","R.085+",699528
"community",2020,"Hospital one","North","Diabetes","Female","A.000-004",74102
"community",2020,"Hospital one","North","Diabetes","Female","B.005-009",70402
"community",2020,"Hospital one","North","Diabetes","Female","C.010-014",76694
"community",2020,"Hospital one","North","Diabetes","Female","D.015-019",70698
"community",2020,"Hospital one","North","Diabetes","Female","E.020-024",76828
"community",2020,"Hospital one","North","Diabetes","Female","F.025-029",74286
"community",2020,"Hospital one","North","Diabetes","Female","G.030-034",107828
"community",2020,"Hospital one","North","Diabetes","Female","H.035-039",110307
"community",2020,"Hospital one","North","Diabetes","Female","I.040-044",104101
"community",2020,"Hospital one","North","Diabetes","Female","J.045-049",132301
"community",2020,"Hospital one","North","Diabetes","Female","K.050-054",192676
"community",2020,"Hospital one","North","Diabetes","Female","L.055-059",236789
"community",2020,"Hospital one","North","Diabetes","Female","M.060-064",226459
"community",2020,"Hospital one","North","Diabetes","Female","N.065-069",330847
"community",2020,"Hospital one","North","Diabetes","Female","O.070-074",377656
"community",2020,"Hospital one","North","Diabetes","Female","P.075-079",358486
"community",2020,"Hospital one","North","Diabetes","Female","Q.080-084",261061
"community",2020,"Hospital one","North","Diabetes","Female","R.085+",263313
"community",2020,"Hospital one","North","Diabetes","Male","A.000-004",76085
"community",2020,"Hospital one","North","Diabetes","Male","B.005-009",65598
"community",2020,"Hospital one","North","Diabetes","Male","C.010-014",73526
"community",2020,"Hospital one","North","Diabetes","Male","D.015-019",73630
"community",2020,"Hospital one","North","Diabetes","Male","E.020-024",57695
"community",2020,"Hospital one","North","Diabetes","Male","F.025-029",71170
"community",2020,"Hospital one","North","Diabetes","Male","G.030-034",99956
"community",2020,"Hospital one","North","Diabetes","Male","H.035-039",111743
"community",2020,"Hospital one","North","Diabetes","Male","I.040-044",116771
"community",2020,"Hospital one","North","Diabetes","Male","J.045-049",117175
"community",2020,"Hospital one","North","Diabetes","Male","K.050-054",215349
"community",2020,"Hospital one","North","Diabetes","Male","L.055-059",231046
"community",2020,"Hospital one","North","Diabetes","Male","M.060-064",271455
"community",2020,"Hospital one","North","Diabetes","Male","N.065-069",311686
"community",2020,"Hospital one","North","Diabetes","Male","O.070-074",405439
"community",2020,"Hospital one","North","Diabetes","Male","P.075-079",363891
"community",2020,"Hospital one","North","Diabetes","Male","Q.080-084",258694
"community",2020,"Hospital one","North","Diabetes","Male","R.085+",247050
"community",2020,"Hospital one","North","Respiratory","Female","A.000-004",33847
"community",2020,"Hospital one","North","Respiratory","Female","B.005-009",32495
"community",2020,"Hospital one","North","Respiratory","Female","C.010-014",30884
"community",2020,"Hospital one","North","Respiratory","Female","D.015-019",34971
"community",2020,"Hospital one","North","Respiratory","Female","E.020-024",36282
"community",2020,"Hospital one","North","Respiratory","Female","F.025-029",47144
"community",2020,"Hospital one","North","Respiratory","Female","G.030-034",59278
"community",2020,"Hospital one","North","Respiratory","Female","H.035-039",63516
"community",2020,"Hospital one","North","Respiratory","Female","I.040-044",58987
"community",2020,"Hospital one","North","Respiratory","Female","J.045-049",86856
"community",2020,"Hospital one","North","Respiratory","Female","K.050-054",110408
"community",2020,"Hospital one","North","Respiratory","Female","L.055-059",103294
"community",2020,"Hospital one","North","Respiratory","Female","M.060-064",114189
"community",2020,"Hospital one","North","Respiratory","Female","N.065-069",156146
"community",2020,"Hospital one","North","Respiratory","Female","O.070-074",228057
"community",2020,"Hospital one","North","Respiratory","Female","P.075-079",157756
"community",2020,"Hospital one","North","Respiratory","Female","Q.080-084",119583
"community",2020,"Hospital one","North","Respiratory","Female","R.085+",116275
"community",2020,"Hospital one","North","Respiratory","Male","A.000-004",41388
"community",2020,"Hospital one","North","Respiratory","Male","B.005-009",31351
"community",2020,"Hospital one","North","Respiratory","Male","C.010-014",36040
"community",2020,"Hospital one","North","Respiratory","Male","D.015-019",30243
"community",2020,"Hospital one","North","Respiratory","Male","E.020-024",33434
"community",2020,"Hospital one","North","Respiratory","Male","F.025-029",43977
"community",2020,"Hospital one","North","Respiratory","Male","G.030-034",55338
"community",2020,"Hospital one","North","Respiratory","Male","H.035-039",53482
"community",2020,"Hospital one","North","Respiratory","Male","I.040-044",68334
"community",2020,"Hospital one","North","Respiratory","Male","J.045-049",82553
"community",2020,"Hospital one","North","Respiratory","Male","K.050-054",85676
"community",2020,"Hospital one","North","Respiratory","Male","L.055-059",124004
"community",2020,"Hospital one","North","Respiratory","Male","M.060-064",121760
"community",2020,"Hospital one","North","Respiratory","Male","N.065-069",125584
"community",2020,"Hospital one","North","Respiratory","Male","O.070-074",196582
"community",2020,"Hospital one","North","Respiratory","Male","P.075-079",158535
"community",2020,"Hospital one","North","Respiratory","Male","Q.080-084",134526
"community",2020,"Hospital one","North","Respiratory","Male","R.085+",144177
"community",2020,"Hospital one","North","Rheumatology","Female","A.000-004",142904
"community",2020,"Hospital one","North","Rheumatology","Female","B.005-009",130243
"community",2020,"Hospital one","North","Rheumatology","Female","C.010-014",151094
"community",2020,"Hospital one","North","Rheumatology","Female","D.015-019",143122
"community",2020,"Hospital one","North","Rheumatology","Female","E.020-024",135617
"community",2020,"Hospital one","North","Rheumatology","Female","F.025-029",145707
"community",2020,"Hospital one","North","Rheumatology","Female","G.030-034",191437
"community",2020,"Hospital one","North","Rheumatology","Female","H.035-039",178098
"community",2020,"Hospital one","North","Rheumatology","Female","I.040-044",232417
"community",2020,"Hospital one","North","Rheumatology","Female","J.045-049",266758
"community",2020,"Hospital one","North","Rheumatology","Female","K.050-054",366091
"community",2020,"Hospital one","North","Rheumatology","Female","L.055-059",429877
"community",2020,"Hospital one","North","Rheumatology","Female","M.060-064",549277
"community",2020,"Hospital one","North","Rheumatology","Female","N.065-069",545320
"community",2020,"Hospital one","North","Rheumatology","Female","O.070-074",764378
"community",2020,"Hospital one","North","Rheumatology","Female","P.075-079",548738
"community",2020,"Hospital one","North","Rheumatology","Female","Q.080-084",550458
"community",2020,"Hospital one","North","Rheumatology","Female","R.085+",443215
"community",2020,"Hospital one","North","Rheumatology","Male","A.000-004",160655
"community",2020,"Hospital one","North","Rheumatology","Male","B.005-009",145587
"community",2020,"Hospital one","North","Rheumatology","Male","C.010-014",135127
"community",2020,"Hospital one","North","Rheumatology","Male","D.015-019",127701
"community",2020,"Hospital one","North","Rheumatology","Male","E.020-024",116282
"community",2020,"Hospital one","North","Rheumatology","Male","F.025-029",137184
"community",2020,"Hospital one","North","Rheumatology","Male","G.030-034",197908
"community",2020,"Hospital one","North","Rheumatology","Male","H.035-039",246414
"community",2020,"Hospital one","North","Rheumatology","Male","I.040-044",215453
"community",2020,"Hospital one","North","Rheumatology","Male","J.045-049",303173
"community",2020,"Hospital one","North","Rheumatology","Male","K.050-054",378947
"community",2020,"Hospital one","North","Rheumatology","Male","L.055-059",479190
"community",2020,"Hospital one","North","Rheumatology","Male","M.060-064",537100
"community",2020,"Hospital one","North","Rheumatology","Male","N.065-069",581385
"community",2020,"Hospital one","North","Rheumatology","Male","O.070-074",842845
"community",2020,"Hospital one","North","Rheumatology","Male","P.075-079",615416
"community",2020,"Hospital one","North","Rheumatology","Male","Q.080-084",502729
"community",2020,"Hospital one","North","Rheumatology","Male","R.085+",406823
"community",2020,"Hospital one","North","Urology","Female","A.000-004",131887
"community",2020,"Hospital one","North","Urology","Female","B.005-009",115945
"community",2020,"Hospital one","North","Urology","Female","C.010-014",146131
"community",2020,"Hospital one","North","Urology","Female","D.015-019",160260
"community",2020,"Hospital one","North","Urology","Female","E.020-024",116137
"community",2020,"Hospital one","North","Urology","Female","F.025-029",168292
"community",2020,"Hospital one","North","Urology","Female","G.030-034",182583
"community",2020,"Hospital one","North","Urology","Female","H.035-039",242143
"community",2020,"Hospital one","North","Urology","Female","I.040-044",204174
"community",2020,"Hospital one","North","Urology","Female","J.045-049",339704
"community",2020,"Hospital one","North","Urology","Female","K.050-054",421888
"community",2020,"Hospital one","North","Urology","Female","L.055-059",489423
"community",2020,"Hospital one","North","Urology","Female","M.060-064",559575
"community",2020,"Hospital one","North","Urology","Female","N.065-069",539479
"community",2020,"Hospital one","North","Urology","Female","O.070-074",646768
"community",2020,"Hospital one","North","Urology","Female","P.075-079",597313
"community",2020,"Hospital one","North","Urology","Female","Q.080-084",487210
"community",2020,"Hospital one","North","Urology","Female","R.085+",532441
"community",2020,"Hospital one","North","Urology","Male","A.000-004",146580
"community",2020,"Hospital one","North","Urology","Male","B.005-009",141070
"community",2020,"Hospital one","North","Urology","Male","C.010-014",140019
"community",2020,"Hospital one","North","Urology","Male","D.015-019",139107
"community",2020,"Hospital one","North","Urology","Male","E.020-024",106141
"community",2020,"Hospital one","North","Urology","Male","F.025-029",176004
"community",2020,"Hospital one","North","Urology","Male","G.030-034",176007
"community",2020,"Hospital one","North","Urology","Male","H.035-039",196688
"community",2020,"Hospital one","North","Urology","Male","I.040-044",226145
"community",2020,"Hospital one","North","Urology","Male","J.045-049",301618
"community",2020,"Hospital one","North","Urology","Male","K.050-054",391767
"community",2020,"Hospital one","North","Urology","Male","L.055-059",404215
"community",2020,"Hospital one","North","Urology","Male","M.060-064",467898
"community",2020,"Hospital one","North","Urology","Male","N.065-069",509244
"community",2020,"Hospital one","North","Urology","Male","O.070-074",676761
"community",2020,"Hospital one","North","Urology","Male","P.075-079",585567
"community",2020,"Hospital one","North","Urology","Male","Q.080-084",535997
"community",2020,"Hospital one","North","Urology","Male","R.085+",420893
"community",2020,"Hospital one","South","Cardiology","Female","A.000-004",118024
"community",2020,"Hospital one","South","Cardiology","Female","B.005-009",129346
"community",2020,"Hospital one","South","Cardiology","Female","C.010-014",125987
"community",2020,"Hospital one","South","Cardiology","Female","D.015-019",125965
"community",2020,"Hospital one","South","Cardiology","Female","E.020-024",121814
"community",2020,"Hospital one","South","Cardiology","Female","F.025-029",158344
"community",2020,"Hospital one","South","Cardiology","Female","G.030-034",178706
"community",2020,"Hospital one","South","Cardiology","Female","H.035-039",207407
"community",2020,"Hospital one","South","Cardiology","Female","I.040-044",212665
"community",2020,"Hospital one","South","Cardiology","Female","J.045-049",294087
"community",2020,"Hospital one","South","Cardiology","Female","K.050-054",429064
"community",2020,"Hospital one","South","Cardiology","Female","L.055-059",534756
"community",2020,"Hospital one","South","Cardiology","Female","M.060-064",421891
"community",2020,"Hospital one","South","Cardiology","Female","N.065-069",543767
"community",2020,"Hospital one","South","Cardiology","Female","O.070-074",668189
"community",2020,"Hospital one","South","Cardiology","Female","P.075-079",635078
"community",2020,"Hospital one","South","Cardiology","Female","Q.080-084",417262
"community",2020,"Hospital one","South","Cardiology","Female","R.085+",358285
"community",2020,"Hospital one","South","Cardiology","Male","A.000-004",150706
"community",2020,"Hospital one","South","Cardiology","Male","B.005-009",111587
"community",2020,"Hospital one","South","Cardiology","Male","C.010-014",97975
"community",2020,"Hospital one","South","Cardiology","Male","D.015-019",143783
"community",2020,"Hospital one","South","Cardiology","Male","E.020-024",130342
"community",2020,"Hospital one","South","Cardiology","Male","F.025-029",150984
"community",2020,"Hospital one","South","Cardiology","Male","G.030-034",191330
"community",2020,"Hospital one","South","Cardiology","Male","H.035-039",168677
"community",2020,"Hospital one","South","Cardiology","Male","I.040-044",180436
"community",2020,"Hospital one","South","Cardiology","Male","J.045-049",294703
"community",2020,"Hospital one","South","Cardiology","Male","K.050-054",335541
"community",2020,"Hospital one","South","Cardiology","Male","L.055-059",414649
"community",2020,"Hospital one","South","Cardiology","Male","M.060-064",484648
"community",2020,"Hospital one","South","Cardiology","Male","N.065-069",577924
"community",2020,"Hospital one","South","Cardiology","Male","O.070-074",608427
"community",2020,"Hospital one","South","Cardiology","Male","P.075-079",590070
"community",2020,"Hospital one","South","Cardiology","Male","Q.080-084",476700
"community",2020,"Hospital one","South","Cardiology","Male","R.085+",365458
"community",2020,"Hospital one","South","Dermatology","Female","A.000-004",164742
"community",2020,"Hospital one","South","Dermatology","Female","B.005-009",150178
"community",2020,"Hospital one","South","Dermatology","Female","C.010-014",164034
"community",2020,"Hospital one","South","Dermatology","Female","D.015-019",132546
"community",2020,"Hospital one","South","Dermatology","Female","E.020-024",169627
"community",2020,"Hospital one","South","Dermatology","Female","F.025-029",184021
"community",2020,"Hospital one","South","Dermatology","Female","G.030-034",216564
"community",2020,"Hospital one","South","Dermatology","Female","H.035-039",230117
"community",2020,"Hospital one","South","Dermatology","Female","I.040-044",290623
"community",2020,"Hospital one","South","Dermatology","Female","J.045-049",360533
"community",2020,"Hospital one","South","Dermatology","Female","K.050-054",408739
"community",2020,"Hospital one","South","Dermatology","Female","L.055-059",544157
"community",2020,"Hospital one","South","Dermatology","Female","M.060-064",525083
"community",2020,"Hospital one","South","Dermatology","Female","N.065-069",638386
"community",2020,"Hospital one","South","Dermatology","Female","O.070-074",915692
"community",2020,"Hospital one","South","Dermatology","Female","P.075-079",673782
"community",2020,"Hospital one","South","Dermatology","Female","Q.080-084",511072
"community",2020,"Hospital one","South","Dermatology","Female","R.085+",494545
"community",2020,"Hospital one","South","Dermatology","Male","A.000-004",132848
"community",2020,"Hospital one","South","Dermatology","Male","B.005-009",161431
"community",2020,"Hospital one","South","Dermatology","Male","C.010-014",156497
"community",2020,"Hospital one","South","Dermatology","Male","D.015-019",160388
"community",2020,"Hospital one","South","Dermatology","Male","E.020-024",158072
"community",2020,"Hospital one","South","Dermatology","Male","F.025-029",156325
"community",2020,"Hospital one","South","Dermatology","Male","G.030-034",207956
"community",2020,"Hospital one","South","Dermatology","Male","H.035-039",242278
"community",2020,"Hospital one","South","Dermatology","Male","I.040-044",251060
"community",2020,"Hospital one","South","Dermatology","Male","J.045-049",340177
"community",2020,"Hospital one","South","Dermatology","Male","K.050-054",453232
"community",2020,"Hospital one","South","Dermatology","Male","L.055-059",443790
"community",2020,"Hospital one","South","Dermatology","Male","M.060-064",568873
"community",2020,"Hospital one","South","Dermatology","Male","N.065-069",739756
"community",2020,"Hospital one","South","Dermatology","Male","O.070-074",822035
"community",2020,"Hospital one","South","Dermatology","Male","P.075-079",734929
"community",2020,"Hospital one","South","Dermatology","Male","Q.080-084",652879
"community",2020,"Hospital one","South","Dermatology","Male","R.085+",481466
"community",2020,"Hospital one","South","Diabetes","Female","A.000-004",51817
"community",2020,"Hospital one","South","Diabetes","Female","B.005-009",60140
"community",2020,"Hospital one","South","Diabetes","Female","C.010-014",52977
"community",2020,"Hospital one","South","Diabetes","Female","D.015-019",53771
"community",2020,"Hospital one","South","Diabetes","Female","E.020-024",40435
"community",2020,"Hospital one","South","Diabetes","Female","F.025-029",56126
"community",2020,"Hospital one","South","Diabetes","Female","G.030-034",80742
"community",2020,"Hospital one","South","Diabetes","Female","H.035-039",97197
"community",2020,"Hospital one","South","Diabetes","Female","I.040-044",99637
"community",2020,"Hospital one","South","Diabetes","Female","J.045-049",145220
"community",2020,"Hospital one","South","Diabetes","Female","K.050-054",130859
"community",2020,"Hospital one","South","Diabetes","Female","L.055-059",173657
"community",2020,"Hospital one","South","Diabetes","Female","M.060-064",227524
"community",2020,"Hospital one","South","Diabetes","Female","N.065-069",227948
"community",2020,"Hospital one","South","Diabetes","Female","O.070-074",292806
"community",2020,"Hospital one","South","Diabetes","Female","P.075-079",233698
"community",2020,"Hospital one","South","Diabetes","Female","Q.080-084",211990
"community",2020,"Hospital one","South","Diabetes","Female","R.085+",204311
"community",2020,"Hospital one","South","Diabetes","Male","A.000-004",56291
"community",2020,"Hospital one","South","Diabetes","Male","B.005-009",52714
"community",2020,"Hospital one","South","Diabetes","Male","C.010-014",56473
"community",2020,"Hospital one","South","Diabetes","Male","D.015-019",49011
"community",2020,"Hospital one","South","Diabetes","Male","E.020-024",49606
"community",2020,"Hospital one","South","Diabetes","Male","F.025-029",55803
"community",2020,"Hospital one","South","Diabetes","Male","G.030-034",76474
"community",2020,"Hospital one","South","Diabetes","Male","H.035-039",80968
"community",2020,"Hospital one","South","Diabetes","Male","I.040-044",91084
"community",2020,"Hospital one","South","Diabetes","Male","J.045-049",146035
"community",2020,"Hospital one","South","Diabetes","Male","K.050-054",168372
"community",2020,"Hospital one","South","Diabetes","Male","L.055-059",181690
"community",2020,"Hospital one","South","Diabetes","Male","M.060-064",165778
"community",2020,"Hospital one","South","Diabetes","Male","N.065-069",174089
"community",2020,"Hospital one","South","Diabetes","Male","O.070-074",256718
"community",2020,"Hospital one","South","Diabetes","Male","P.075-079",210233
"community",2020,"Hospital one","South","Diabetes","Male","Q.080-084",215143
"community",2020,"Hospital one","South","Diabetes","Male","R.085+",172866
"community",2020,"Hospital one","South","Respiratory","Female","A.000-004",27869
"community",2020,"Hospital one","South","Respiratory","Female","B.005-009",24863
"community",2020,"Hospital one","South","Respiratory","Female","C.010-014",28532
"community",2020,"Hospital one","South","Respiratory","Female","D.015-019",21937
"community",2020,"Hospital one","South","Respiratory","Female","E.020-024",29388
"community",2020,"Hospital one","South","Respiratory","Female","F.025-029",35489
"community",2020,"Hospital one","South","Respiratory","Female","G.030-034",40268
"community",2020,"Hospital one","South","Respiratory","Female","H.035-039",41871
"community",2020,"Hospital one","South","Respiratory","Female","I.040-044",42244
"community",2020,"Hospital one","South","Respiratory","Female","J.045-049",67578
"community",2020,"Hospital one","South","Respiratory","Female","K.050-054",78881
"community",2020,"Hospital one","South","Respiratory","Female","L.055-059",109600
"community",2020,"Hospital one","South","Respiratory","Female","M.060-064",98227
"community",2020,"Hospital one","South","Respiratory","Female","N.065-069",117488
"community",2020,"Hospital one","South","Respiratory","Female","O.070-074",162004
"community",2020,"Hospital one","South","Respiratory","Female","P.075-079",108157
"community",2020,"Hospital one","South","Respiratory","Female","Q.080-084",92908
"community",2020,"Hospital one","South","Respiratory","Female","R.085+",91425
"community",2020,"Hospital one","South","Respiratory","Male","A.000-004",27815
"community",2020,"Hospital one","South","Respiratory","Male","B.005-009",26827
"community",2020,"Hospital one","South","Respiratory","Male","C.010-014",24451
"community",2020,"Hospital one","South","Respiratory","Male","D.015-019",20343
"community",2020,"Hospital one","South","Respiratory","Male","E.020-024",24533
"community",2020,"Hospital one","South","Respiratory","Male","F.025-029",35076
"community",2020,"Hospital one","South","Respiratory","Male","G.030-034",38349
"community",2020,"Hospital one","South","Respiratory","Male","H.035-039",45865
"community",2020,"Hospital one","South","Respiratory","Male","I.040-044",44541
"community",2020,"Hospital one","South","Respiratory","Male","J.045-049",60889
"community",2020,"Hospital one","South","Respiratory","Male","K.050-054",74337
"community",2020,"Hospital one","South","Respiratory","Male","L.055-059",98380
"community",2020,"Hospital one","South","Respiratory","Male","M.060-064",93892
"community",2020,"Hospital one","South","Respiratory","Male","N.065-069",121415
"community",2020,"Hospital one","South","Respiratory","Male","O.070-074",130527
"community",2020,"Hospital one","South","Respiratory","Male","P.075-079",78824
"community",2020,"Hospital one","South","Respiratory","Male","Q.080-084",100450
"community",2020,"Hospital one","South","Respiratory","Male","R.085+",100984
"community",2020,"Hospital one","South","Rheumatology","Female","A.000-004",119230
"community",2020,"Hospital one","South","Rheumatology","Female","B.005-009",92486
"community",2020,"Hospital one","South","Rheumatology","Female","C.010-014",120317
"community",2020,"Hospital one","South","Rheumatology","Female","D.015-019",94071
"community",2020,"Hospital one","South","Rheumatology","Female","E.020-024",87764
"community",2020,"Hospital one","South","Rheumatology","Female","F.025-029",98771
"community",2020,"Hospital one","South","Rheumatology","Female","G.030-034",143023
"community",2020,"Hospital one","South","Rheumatology","Female","H.035-039",191162
"community",2020,"Hospital one","South","Rheumatology","Female","I.040-044",165106
"community",2020,"Hospital one","South","Rheumatology","Female","J.045-049",232703
"community",2020,"Hospital one","South","Rheumatology","Female","K.050-054",279939
"community",2020,"Hospital one","South","Rheumatology","Female","L.055-059",316367
"community",2020,"Hospital one","South","Rheumatology","Female","M.060-064",412247
"community",2020,"Hospital one","South","Rheumatology","Female","N.065-069",338795
"community",2020,"Hospital one","South","Rheumatology","Female","O.070-074",597773
"community",2020,"Hospital one","South","Rheumatology","Female","P.075-079",431941
"community",2020,"Hospital one","South","Rheumatology","Female","Q.080-084",445486
"community",2020,"Hospital one","South","Rheumatology","Female","R.085+",341146
"community",2020,"Hospital one","South","Rheumatology","Male","A.000-004",124024
"community",2020,"Hospital one","South","Rheumatology","Male","B.005-009",100608
"community",2020,"Hospital one","South","Rheumatology","Male","C.010-014",99554
"community",2020,"Hospital one","South","Rheumatology","Male","D.015-019",90734
"community",2020,"Hospital one","South","Rheumatology","Male","E.020-024",100312
"community",2020,"Hospital one","South","Rheumatology","Male","F.025-029",122046
"community",2020,"Hospital one","South","Rheumatology","Male","G.030-034",157927
"community",2020,"Hospital one","South","Rheumatology","Male","H.035-039",167806
"community",2020,"Hospital one","South","Rheumatology","Male","I.040-044",218674
"community",2020,"Hospital one","South","Rheumatology","Male","J.045-049",245511
"community",2020,"Hospital one","South","Rheumatology","Male","K.050-054",293780
"community",2020,"Hospital one","South","Rheumatology","Male","L.055-059",338462
"community",2020,"Hospital one","South","Rheumatology","Male","M.060-064",347251
"community",2020,"Hospital one","South","Rheumatology","Male","N.065-069",478282
"community",2020,"Hospital one","South","Rheumatology","Male","O.070-074",551040
"community",2020,"Hospital one","South","Rheumatology","Male","P.075-079",427338
"community",2020,"Hospital one","South","Rheumatology","Male","Q.080-084",402872
"community",2020,"Hospital one","South","Rheumatology","Male","R.085+",413384
"community",2020,"Hospital one","South","Urology","Female","A.000-004",103391
"community",2020,"Hospital one","South","Urology","Female","B.005-009",89919
"community",2020,"Hospital one","South","Urology","Female","C.010-014",104203
"community",2020,"Hospital one","South","Urology","Female","D.015-019",91981
"community",2020,"Hospital one","South","Urology","Female","E.020-024",84791
"community",2020,"Hospital one","South","Urology","Female","F.025-029",122959
"community",2020,"Hospital one","South","Urology","Female","G.030-034",144605
"community",2020,"Hospital one","South","Urology","Female","H.035-039",163597
"community",2020,"Hospital one","South","Urology","Female","I.040-044",159399
"community",2020,"Hospital one","South","Urology","Female","J.045-049",278064
"community",2020,"Hospital one","South","Urology","Female","K.050-054",311990
"community",2020,"Hospital one","South","Urology","Female","L.055-059",386957
"community",2020,"Hospital one","South","Urology","Female","M.060-064",347983
"community",2020,"Hospital one","South","Urology","Female","N.065-069",404916
"community",2020,"Hospital one","South","Urology","Female","O.070-074",549388
"community",2020,"Hospital one","South","Urology","Female","P.075-079",413141
"community",2020,"Hospital one","South","Urology","Female","Q.080-084",399574
"community",2020,"Hospital one","South","Urology","Female","R.085+",323097
"community",2020,"Hospital one","South","Urology","Male","A.000-004",118512
"community",2020,"Hospital one","South","Urology","Male","B.005-009",100414
"community",2020,"Hospital one","South","Urology","Male","C.010-014",97799
"community",2020,"Hospital one","South","Urology","Male","D.015-019",93771
"community",2020,"Hospital one","South","Urology","Male","E.020-024",108422
"community",2020,"Hospital one","South","Urology","Male","F.025-029",129890
"community",2020,"Hospital one","South","Urology","Male","G.030-034",132916
"community",2020,"Hospital one","South","Urology","Male","H.035-039",176468
"community",2020,"Hospital one","South","Urology","Male","I.040-044",187864
"community",2020,"Hospital one","South","Urology","Male","J.045-049",188301
