"domain","year","hospital_name","region","service_line","sex","age_band","activity"
"acute",2020,"Hospital one","North","Dermatology","Male","H.035-039",59842
"acute",2020,"Hospital one","North","Dermatology","Male","I.040-044",66221
"acute",2020,"Hospital one","North","Dermatology","Male","J.045-049",98888
"acute",2020,"Hospital one","North","Dermatology","Male","K.050-054",115229
"acute",2020,"Hospital one","North","Dermatology","Male","L.055-059",141414
"acute",2020,"Hospital one","North","Dermatology","Male","M.060-064",118529
"acute",2020,"Hospital one","North","Dermatology","Male","N.065-069",142384
"acute",2020,"Hospital one","North","Dermatology","Male","O.070-074",203867
"acute",2020,"Hospital one","North","Dermatology","Male","P.075-079",165838
"acute",2020,"Hospital one","North","Dermatology","Male","Q.080-084",130710
"acute",2020,"Hospital one","North","Dermatology","Male","R.085+",139906
"acute",2020,"Hospital one","North","Diabetes","Female","A.000-004",14820
"acute",2020,"Hospital one","North","Diabetes","Female","B.005-009",14080
"acute",2020,"Hospital one","North","Diabetes","Female","C.010-014",15339
"acute",2020,"Hospital one","North","Diabetes","Female","D.015-019",14140
"acute",2020,"Hospital one","North","Diabetes","Female","E.020-024",15366
"acute",2020,"Hospital one","North","Diabetes","Female","F.025-029",14857
"acute",2020,"Hospital one","North","Diabetes","Female","G.030-034",21566
"acute",2020,"Hospital one","North","Diabetes","Female","H.035-039",22061
"acute",2020,"Hospital one","North","Diabetes","Female","I.040-044",20820
"acute",2020,"Hospital one","North","Diabetes","Female","J.045-049",26460
"acute",2020,"Hospital one","North","Diabetes","Female","K.050-054",38535
"acute",2020,"Hospital one","North","Diabetes","Female","L.055-059",47358
"acute",2020,"Hospital one","North","Diabetes","Female","M.060-064",45292
"acute",2020,"Hospital one","North","Diabetes","Female","N.065-069",66169
"acute",2020,"Hospital one","North","Diabetes","Female","O.070-074",75531
"acute",2020,"Hospital one","North","Diabetes","Female","P.075-079",71697
"acute",2020,"Hospital one","North","Diabetes","Female","Q.080-084",52212
"acute",2020,"Hospital one","North","Diabetes","Female","R.085+",52663
"acute",2020,"Hospital one","North","Diabetes","Male","A.000-004",15217
"acute",2020,"Hospital one","North","Diabetes","Male","B.005-009",13120
"acute",2020,"Hospital one","North","Diabetes","Male","C.010-014",14705
"acute",2020,"Hospital one","North","Diabetes","Male","D.015-019",14726
"acute",2020,"Hospital one","North","Diabetes","Male","E.020-024",11539
"acute",2020,"Hospital one","North","Diabetes","Male","F.025-029",14234
"acute",2020,"Hospital one","North","Diabetes","Male","G.030-034",19991
"acute",2020,"Hospital one","North","Diabetes","Male","H.035-039",22349
"acute",2020,"Hospital one","North","Diabetes","Male","I.040-044",23354
"acute",2020,"Hospital one","North","Diabetes","Male","J.045-049",23435
"acute",2020,"Hospital one","North","Diabetes","Male","K.050-054",43070
"acute",2020,"Hospital one","North","Diabetes","Male","L.055-059",46209
"acute",2020,"Hospital one","North","Diabetes","Male","M.060-064",54291
"acute",2020,"Hospital one","North","Diabetes","Male","N.065-069",62337
"acute",2020,"Hospital one","North","Diabetes","Male","O.070-074",81088
"acute",2020,"Hospital one","North","Diabetes","Male","P.075-079",72778
"acute",2020,"Hospital one","North","Diabetes","Male","Q.080-084",51739
"acute",2020,"Hospital one","North","Diabetes","Male","R.085+",49410
"acute",2020,"Hospital one","North","Respiratory","Female","A.000-004",6769
"acute",2020,"Hospital one","North","Respiratory","Female","B.005-009",6499
"acute",2020,"Hospital one","North","Respiratory","Female","C.010-014",6177
"acute",2020,"Hospital one","North","Respiratory","Female","D.015-019",6994
"acute",2020,"Hospital one","North","Respiratory","Female","E.020-024",7256
"acute",2020,"Hospital one","North","Respiratory","Female","F.025-029",9429
"acute",2020,"Hospital one","North","Respiratory","Female","G.030-034",11856
"acute",2020,"Hospital one","North","Respiratory","Female","H.035-039",12703
"acute",2020,"Hospital one","North","Respiratory","Female","I.040-044",11797
"acute",2020,"Hospital one","North","Respiratory","Female","J.045-049",17371
"acute",2020,"Hospital one","North","Respiratory","Female","K.050-054",22082
"acute",2020,"Hospital one","North","Respiratory","Female","L.055-059",20659
"acute",2020,"Hospital one","North","Respiratory","Female","M.060-064",22838
"acute",2020,"Hospital one","North","Respiratory","Female","N.065-069",31229
"acute",2020,"Hospital one","North","Respiratory","Female","O.070-074",45611
"acute",2020,"Hospital one","North","Respiratory","Female","P.075-079",31551
"acute",2020,"Hospital one","North","Respiratory","Female","Q.080-084",23917
"acute",2020,"Hospital one","North","Respiratory","Female","R.085+",23255
"acute",2020,"Hospital one","North","Respiratory","Male","A.000-004",8278
"acute",2020,"Hospital one","North","Respiratory","Male","B.005-009",6270
"acute",2020,"Hospital one","North","Respiratory","Male","C.010-014",7208
"acute",2020,"Hospital one","North","Respiratory","Male","D.015-019",6049
"acute",2020,"Hospital one","North","Respiratory","Male","E.020-024",6687
"acute",2020,"Hospital one","North","Respiratory","Male","F.025-029",8795
"acute",2020,"Hospital one","North","Respiratory","Male","G.030-034",11068
"acute",2020,"Hospital one","North","Respiratory","Male","H.035-039",10696
"acute",2020,"Hospital one","North","Respiratory","Male","I.040-044",13667
"acute",2020,"Hospital one","North","Respiratory","Male","J.045-049",16511
"acute",2020,"Hospital one","North","Respiratory","Male","K.050-054",17135
"acute",2020,"Hospital one","North","Respiratory","Male","L.055-059",24801
"acute",2020,"Hospital one","North","Respiratory","Male","M.060-064",24352
"acute",2020,"Hospital one","North","Respiratory","Male","N.065-069",25117
"acute",2020,"Hospital one","North","Respiratory","Male","O.070-074",39316
"acute",2020,"Hospital one","North","Respiratory","Male","P.075-079",31707
"acute",2020,"Hospital one","North","Respiratory","Male","Q.080-084",26905
"acute",2020,"Hospital one","North","Respiratory","Male","R.085+",28835
"acute",2020,"Hospital one","North","Rheumatology","Female","A.000-004",28581
"acute",2020,"Hospital one","North","Rheumatology","Female","B.005-009",26049
"acute",2020,"Hospital one","North","Rheumatology","Female","C.010-014",30219
"acute",2020,"Hospital one","North","Rheumatology","Female","D.015-019",28624
"acute",2020,"Hospital one","North","Rheumatology","Female","E.020-024",27123
"acute",2020,"Hospital one","North","Rheumatology","Female","F.025-029",29141
"acute",2020,"Hospital one","North","Rheumatology","Female","G.030-034",38287
"acute",2020,"Hospital one","North","Rheumatology","Female","H.035-039",35620
"acute",2020,"Hospital one","North","Rheumatology","Female","I.040-044",46483
"acute",2020,"Hospital one","North","Rheumatology","Female","J.045-049",53352
"acute",2020,"Hospital one","North","Rheumatology","Female","K.050-054",73218
"acute",2020,"Hospital one","North","Rheumatology","Female","L.055-059",85975
"acute",2020,"Hospital one","North","Rheumatology","Female","M.060-064",109855
"acute",2020,"Hospital one","North","Rheumatology","Female","N.065-069",109064
"acute",2020,"Hospital one","North","Rheumatology","Female","O.070-074",152876
"acute",2020,"Hospital one","North","Rheumatology","Female","P.075-079",109748
"acute",2020,"Hospital one","North","Rheumatology","Female","Q.080-084",110092
"acute",2020,"Hospital one","North","Rheumatology","Female","R.085+",88643
"acute",2020,"Hospital one","North","Rheumatology","Male","A.000-004",32131
"acute",2020,"Hospital one","North","Rheumatology","Male","B.005-009",29117
"acute",2020,"Hospital one","North","Rheumatology","Male","C.010-014",27025
"acute",2020,"Hospital one","North","Rheumatology","Male","D.015-019",25540
"acute",2020,"Hospital one","North","Rheumatology","Male","E.020-024",23256
"acute",2020,"Hospital one","North","Rheumatology","Male","F.025-029",27437
"acute",2020,"Hospital one","North","Rheumatology","Male","G.030-034",39582
"acute",2020,"Hospital one","North","Rheumatology","Male","H.035-039",49283
"acute",2020,"Hospital one","North","Rheumatology","Male","I.040-044",43091
"acute",2020,"Hospital one","North","Rheumatology","Male","J.045-049",60635
"acute",2020,"Hospital one","North","Rheumatology","Male","K.050-054",75789
"acute",2020,"Hospital one","North","Rheumatology","Male","L.055-059",95838
"acute",2020,"Hospital one","North","Rheumatology","Male","M.060-064",107420
"acute",2020,"Hospital one","North","Rheumatology","Male","N.065-069",116277
"acute",2020,"Hospital one","North","Rheumatology","Male","O.070-074",168569
"acute",2020,"Hospital one","North","Rheumatology","Male","P.075-079",123083
"acute",2020,"Hospital one","North","Rheumatology","Male","Q.080-084",100546
"acute",2020,"Hospital one","North","Rheumatology","Male","R.085+",81365
"acute",2020,"Hospital one","North","Urology","Female","A.000-004",26377
"acute",2020,"Hospital one","North","Urology","Female","B.005-009",23189
"acute",2020,"Hospital one","North","Urology","Female","C.010-014",29226
"acute",2020,"Hospital one","North","Urology","Female","D.015-019",32052
"acute",2020,"Hospital one","North","Urology","Female","E.020-024",23227
"acute",2020,"Hospital one","North","Urology","Female","F.025-029",33658
"acute",2020,"Hospital one","North","Urology","Female","G.030-034",36517
"acute",2020,"Hospital one","North","Urology","Female","H.035-039",48429
"acute",2020,"Hospital one","North","Urology","Female","I.040-044",40835
"acute",2020,"Hospital one","North","Urology","Female","J.045-049",67941
"acute",2020,"Hospital one","North","Urology","Female","K.050-054",84378
"acute",2020,"Hospital one","North","Urology","Female","L.055-059",97885
"acute",2020,"Hospital one","North","Urology","Female","M.060-064",111915
"acute",2020,"Hospital one","North","Urology","Female","N.065-069",107896
"acute",2020,"Hospital one","North","Urology","Female","O.070-074",129354
"acute",2020,"Hospital one","North","Urology","Female","P.075-079",119463
"acute",2020,"Hospital one","North","Urology","Female","Q.080-084",97442
"acute",2020,"Hospital one","North","Urology","Female","R.085+",106488
"acute",2020,"Hospital one","North","Urology","Male","A.000-004",29316
"acute",2020,"Hospital one","North","Urology","Male","B.005-009",28214
"acute",2020,"Hospital one","North","Urology","Male","C.010-014",28004
"acute",2020,"Hospital one","North","Urology","Male","D.015-019",27821
"acute",2020,"Hospital one","North","Urology","Male","E.020-024",21228
"acute",2020,"Hospital one","North","Urology","Male","F.025-029",35201
"acute",2020,"Hospital one","North","Urology","Male","G.030-034",35201
"acute",2020,"Hospital one","North","Urology","Male","H.035-039",39338
"acute",2020,"Hospital one","North","Urology","Male","I.040-044",45229
"acute",2020,"Hospital one","North","Urology","Male","J.045-049",60324
"acute",2020,"Hospital one","North","Urology","Male","K.050-054",78353
"acute",2020,"Hospital one","North","Urology","Male","L.055-059",80843
"acute",2020,"Hospital one","North","Urology","Male","M.060-064",93580
"acute",2020,"Hospital one","North","Urology","Male","N.065-069",101849
"acute",2020,"Hospital one","North","Urology","Male","O.070-074",135352
"acute",2020,"Hospital one","North","Urology","Male","P.075-079",117113
"acute",2020,"Hospital one","North","Urology","Male","Q.080-084",107199
"acute",2020,"Hospital one","North","Urology","Male","R.085+",84179
"acute",2020,"Hospital one","South","Cardiology","Female","A.000-004",23605
"acute",2020,"Hospital one","South","Cardiology","Female","B.005-009",25869
"acute",2020,"Hospital one","South","Cardiology","Female","C.010-014",25197
"acute",2020,"Hospital one","South","Cardiology","Female","D.015-019",25193
"acute",2020,"Hospital one","South","Cardiology","Female","E.020-024",24363
"acute",2020,"Hospital one","South","Cardiology","Female","F.025-029",31669
"acute",2020,"Hospital one","South","Cardiology","Female","G.030-034",35741
"acute",2020,"Hospital one","South","Cardiology","Female","H.035-039",41481
"acute",2020,"Hospital one","South","Cardiology","Female","I.040-044",42533
"acute",2020,"Hospital one","South","Cardiology","Female","J.045-049",58817
"acute",2020,"Hospital one","South","Cardiology","Female","K.050-054",85813
"acute",2020,"Hospital one","South","Cardiology","Female","L.055-059",106951
"acute",2020,"Hospital one","South","Cardiology","Female","M.060-064",84378
"acute",2020,"Hospital one","South","Cardiology","Female","N.065-069",108753
"acute",2020,"Hospital one","South","Cardiology","Female","O.070-074",133638
"acute",2020,"Hospital one","South","Cardiology","Female","P.075-079",127016
"acute",2020,"Hospital one","South","Cardiology","Female","Q.080-084",83452
"acute",2020,"Hospital one","South","Cardiology","Female","R.085+",71657
"acute",2020,"Hospital one","South","Cardiology","Male","A.000-004",30141
"acute",2020,"Hospital one","South","Cardiology","Male","B.005-009",22317
"acute",2020,"Hospital one","South","Cardiology","Male","C.010-014",19595
"acute",2020,"Hospital one","South","Cardiology","Male","D.015-019",28757
"acute",2020,"Hospital one","South","Cardiology","Male","E.020-024",26068
"acute",2020,"Hospital one","South","Cardiology","Male","F.025-029",30197
"acute",2020,"Hospital one","South","Cardiology","Male","G.030-034",38266
"acute",2020,"Hospital one","South","Cardiology","Male","H.035-039",33735
"acute",2020,"Hospital one","South","Cardiology","Male","I.040-044",36087
"acute",2020,"Hospital one","South","Cardiology","Male","J.045-049",58941
"acute",2020,"Hospital one","South","Cardiology","Male","K.050-054",67108
"acute",2020,"Hospital one","South","Cardiology","Male","L.055-059",82930
"acute",2020,"Hospital one","South","Cardiology","Male","M.060-064",96930
"acute",2020,"Hospital one","South","Cardiology","Male","N.065-069",115585
"acute",2020,"Hospital one","South","Cardiology","Male","O.070-074",121685
"acute",2020,"Hospital one","South","Cardiology","Male","P.075-079",118014
"acute",2020,"Hospital one","South","Cardiology","Male","Q.080-084",95340
"acute",2020,"Hospital one","South","Cardiology","Male","R.085+",73092
"acute",2020,"Hospital one","South","Dermatology","Female","A.000-004",32948
"acute",2020,"Hospital one","South","Dermatology","Female","B.005-009",30036
"acute",2020,"Hospital one","South","Dermatology","Female","C.010-014",32807
"acute",2020,"Hospital one","South","Dermatology","Female","D.015-019",26509
"acute",2020,"Hospital one","South","Dermatology","Female","E.020-024",33925
"acute",2020,"Hospital one","South","Dermatology","Female","F.025-029",36804
"acute",2020,"Hospital one","South","Dermatology","Female","G.030-034",43313
"acute",2020,"Hospital one","South","Dermatology","Female","H.035-039",46023
"acute",2020,"Hospital one","South","Dermatology","Female","I.040-044",58125
"acute",2020,"Hospital one","South","Dermatology","Female","J.045-049",72107
"acute",2020,"Hospital one","South","Dermatology","Female","K.050-054",81748
"acute",2020,"Hospital one","South","Dermatology","Female","L.055-059",108831
"acute",2020,"Hospital one","South","Dermatology","Female","M.060-064",105017
"acute",2020,"Hospital one","South","Dermatology","Female","N.065-069",127677
"acute",2020,"Hospital one","South","Dermatology","Female","O.070-074",183138
"acute",2020,"Hospital one","South","Dermatology","Female","P.075-079",134756
"acute",2020,"Hospital one","South","Dermatology","Female","Q.080-084",102214
"acute",2020,"Hospital one","South","Dermatology","Female","R.085+",98909
"acute",2020,"Hospital one","South","Dermatology","Male","A.000-004",26570
"acute",2020,"Hospital one","South","Dermatology","Male","B.005-009",32286
"acute",2020,"Hospital one","South","Dermatology","Male","C.010-014",31299
"acute",2020,"Hospital one","South","Dermatology","Male","D.015-019",32078
"acute",2020,"Hospital one","South","Dermatology","Male","E.020-024",31614
"acute",2020,"Hospital one","South","Dermatology","Male","F.025-029",31265
"acute",2020,"Hospital one","South","Dermatology","Male","G.030-034",41591
"acute",2020,"Hospital one","South","Dermatology","Male","H.035-039",48456
"acute",2020,"Hospital one","South","Dermatology","Male","I.040-044",50212
"acute",2020,"Hospital one","South","Dermatology","Male","J.045-049",68035
"acute",2020,"Hospital one","South","Dermatology","Male","K.050-054",90646
"acute",2020,"Hospital one","South","Dermatology","Male","L.055-059",88758
"acute",2020,"Hospital one","South","Dermatology","Male","M.060-064",113775
"acute",2020,"Hospital one","South","Dermatology","Male","N.065-069",147951
"acute",2020,"Hospital one","South","Dermatology","Male","O.070-074",164407
"acute",2020,"Hospital one","South","Dermatology","Male","P.075-079",146986
"acute",2020,"Hospital one","South","Dermatology","Male","Q.080-084",130576
"acute",2020,"Hospital one","South","Dermatology","Male","R.085+",96293
"acute",2020,"Hospital one","South","Diabetes","Female","A.000-004",10363
"acute",2020,"Hospital one","South","Diabetes","Female","B.005-009",12028
"acute",2020,"Hospital one","South","Diabetes","Female","C.010-014",10595
"acute",2020,"Hospital one","South","Diabetes","Female","D.015-019",10754
"acute",2020,"Hospital one","South","Diabetes","Female","E.020-024",8087
"acute",2020,"Hospital one","South","Diabetes","Female","F.025-029",11225
"acute",2020,"Hospital one","South","Diabetes","Female","G.030-034",16148
"acute",2020,"Hospital one","South","Diabetes","Female","H.035-039",19439
"acute",2020,"Hospital one","South","Diabetes","Female","I.040-044",19927
"acute",2020,"Hospital one","South","Diabetes","Female","J.045-049",29044
"acute",2020,"Hospital one","South","Diabetes","Female","K.050-054",26172
"acute",2020,"Hospital one","South","Diabetes","Female","L.055-059",34731
"acute",2020,"Hospital one","South","Diabetes","Female","M.060-064",45505
"acute",2020,"Hospital one","South","Diabetes","Female","N.065-069",45590
"acute",2020,"Hospital one","South","Diabetes","Female","O.070-074",58561
"acute",2020,"Hospital one","South","Diabetes","Female","P.075-079",46740
"acute",2020,"Hospital one","South","Diabetes","Female","Q.080-084",42398
"acute",2020,"Hospital one","South","Diabetes","Female","R.085+",40862
"acute",2020,"Hospital one","South","Diabetes","Male","A.000-004",11258
"acute",2020,"Hospital one","South","Diabetes","Male","B.005-009",10543
"acute",2020,"Hospital one","South","Diabetes","Male","C.010-014",11295
"acute",2020,"Hospital one","South","Diabetes","Male","D.015-019",9802
"acute",2020,"Hospital one","South","Diabetes","Male","E.020-024",9921
"acute",2020,"Hospital one","South","Diabetes","Male","F.025-029",11161
"acute",2020,"Hospital one","South","Diabetes","Male","G.030-034",15295
"acute",2020,"Hospital one","South","Diabetes","Male","H.035-039",16194
"acute",2020,"Hospital one","South","Diabetes","Male","I.040-044",18217
"acute",2020,"Hospital one","South","Diabetes","Male","J.045-049",29207
"acute",2020,"Hospital one","South","Diabetes","Male","K.050-054",33674
"acute",2020,"Hospital one","South","Diabetes","Male","L.055-059",36338
"acute",2020,"Hospital one","South","Diabetes","Male","M.060-064",33156
"acute",2020,"Hospital one","South","Diabetes","Male","N.065-069",34818
"acute",2020,"Hospital one","South","Diabetes","Male","O.070-074",51344
"acute",2020,"Hospital one","South","Diabetes","Male","P.075-079",42047
"acute",2020,"Hospital one","South","Diabetes","Male","Q.080-084",43029
"acute",2020,"Hospital one","South","Diabetes","Male","R.085+",34573
"acute",2020,"Hospital one","South","Respiratory","Female","A.000-004",5574
"acute",2020,"Hospital one","South","Respiratory","Female","B.005-009",4973
"acute",2020,"Hospital one","South","Respiratory","Female","C.010-014",5706
"acute",2020,"Hospital one","South","Respiratory","Female","D.015-019",4387
"acute",2020,"Hospital one","South","Respiratory","Female","E.020-024",5878
"acute",2020,"Hospital one","South","Respiratory","Female","F.025-029",7098
"acute",2020,"Hospital one","South","Respiratory","Female","G.030-034",8054
"acute",2020,"Hospital one","South","Respiratory","Female","H.035-039",8374
"acute",2020,"Hospital one","South","Respiratory","Female","I.040-044",8449
"acute",2020,"Hospital one","South","Respiratory","Female","J.045-049",13516
"acute",2020,"Hospital one","South","Respiratory","Female","K.050-054",15776
"acute",2020,"Hospital one","South","Respiratory","Female","L.055-059",21920
"acute",2020,"Hospital one","South","Respiratory","Female","M.060-064",19645
"acute",2020,"Hospital one","South","Respiratory","Female","N.065-069",23498
"acute",2020,"Hospital one","South","Respiratory","Female","O.070-074",32401
"acute",2020,"Hospital one","South","Respiratory","Female","P.075-079",21631
"acute",2020,"Hospital one","South","Respiratory","Female","Q.080-084",18582
"acute",2020,"Hospital one","South","Respiratory","Female","R.085+",18285
"acute",2020,"Hospital one","South","Respiratory","Male","A.000-004",5563
"acute",2020,"Hospital one","South","Respiratory","Male","B.005-009",5365
"acute",2020,"Hospital one","South","Respiratory","Male","C.010-014",4890
"acute",2020,"Hospital one","South","Respiratory","Male","D.015-019",4069
"acute",2020,"Hospital one","South","Respiratory","Male","E.020-024",4907
"acute",2020,"Hospital one","South","Respiratory","Male","F.025-029",7015
"acute",2020,"Hospital one","South","Respiratory","Male","G.030-034",7670
"acute",2020,"Hospital one","South","Respiratory","Male","H.035-039",9173
"acute",2020,"Hospital one","South","Respiratory","Male","I.040-044",8908
"acute",2020,"Hospital one","South","Respiratory","Male","J.045-049",12178
"acute",2020,"Hospital one","South","Respiratory","Male","K.050-054",14867
"acute",2020,"Hospital one","South","Respiratory","Male","L.055-059",19676
"acute",2020,"Hospital one","South","Respiratory","Male","M.060-064",18778
"acute",2020,"Hospital one","South","Respiratory","Male","N.065-069",24283
"acute",2020,"Hospital one","South","Respiratory","Male","O.070-074",26105
"acute",2020,"Hospital one","South","Respiratory","Male","P.075-079",15765
"acute",2020,"Hospital one","South","Respiratory","Male","Q.080-084",20090
"acute",2020,"Hospital one","South","Respiratory","Male","R.085+",20197
"acute",2020,"Hospital one","South","Rheumatology","Female","A.000-004",23846
"acute",2020,"Hospital one","South","Rheumatology","Female","B.005-009",18497
"acute",2020,"Hospital one","South","Rheumatology","Female","C.010-014",24063
"acute",2020,"Hospital one","South","Rheumatology","Female","D.015-019",18814
"acute",2020,"Hospital one","South","Rheumatology","Female","E.020-024",17553
"acute",2020,"Hospital one","South","Rheumatology","Female","F.025-029",19754
"acute",2020,"Hospital one","South","Rheumatology","Female","G.030-034",28605
"acute",2020,"Hospital one","South","Rheumatology","Female","H.035-039",38232
"acute",2020,"Hospital one","South","Rheumatology","Female","I.040-044",33021
"acute",2020,"Hospital one","South","Rheumatology","Female","J.045-049",46541
"acute",2020,"Hospital one","South","Rheumatology","Female","K.050-054",55988
"acute",2020,"Hospital one","South","Rheumatology","Female","L.055-059",63273
"acute",2020,"Hospital one","South","Rheumatology","Female","M.060-064",82449
"acute",2020,"Hospital one","South","Rheumatology","Female","N.065-069",67759
"acute",2020,"Hospital one","South","Rheumatology","Female","O.070-074",119555
"acute",2020,"Hospital one","South","Rheumatology","Female","P.075-079",86388
"acute",2020,"Hospital one","South","Rheumatology","Female","Q.080-084",89097
"acute",2020,"Hospital one","South","Rheumatology","Female","R.085+",68229
"acute",2020,"Hospital one","South","Rheumatology","Male","A.000-004",24805
"acute",2020,"Hospital one","South","Rheumatology","Male","B.005-009",20122
"acute",2020,"Hospital one","South","Rheumatology","Male","C.010-014",19911
"acute",2020,"Hospital one","South","Rheumatology","Male","D.015-019",18147
"acute",2020,"Hospital one","South","Rheumatology","Male","E.020-024",20062
"acute",2020,"Hospital one","South","Rheumatology","Male","F.025-029",24409
"acute",2020,"Hospital one","South","Rheumatology","Male","G.030-034",31585
"acute",2020,"Hospital one","South","Rheumatology","Male","H.035-039",33561
"acute",2020,"Hospital one","South","Rheumatology","Male","I.040-044",43735
"acute",2020,"Hospital one","South","Rheumatology","Male","J.045-049",49102
"acute",2020,"Hospital one","South","Rheumatology","Male","K.050-054",58756
"acute",2020,"Hospital one","South","Rheumatology","Male","L.055-059",67692
"acute",2020,"Hospital one","South","Rheumatology","Male","M.060-064",69450
"acute",2020,"Hospital one","South","Rheumatology","Male","N.065-069",95656
"acute",2020,"Hospital one","South","Rheumatology","Male","O.070-074",110208
"acute",2020,"Hospital one","South","Rheumatology","Male","P.075-079",85468
"acute",2020,"Hospital one","South","Rheumatology","Male","Q.080-084",80574
"acute",2020,"Hospital one","South","Rheumatology","Male","R.085+",82677
"acute",2020,"Hospital one","South","Urology","Female","A.000-004",20678
"acute",2020,"Hospital one","South","Urology","Female","B.005-009",17984
"acute",2020,"Hospital one","South","Urology","Female","C.010-014",20841
"acute",2020,"Hospital one","South","Urology","Female","D.015-019",18396
"acute",2020,"Hospital one","South","Urology","Female","E.020-024",16958
"acute",2020,"Hospital one","South","Urology","Female","F.025-029",24592
"acute",2020,"Hospital one","South","Urology","Female","G.030-034",28921
"acute",2020,"Hospital one","South","Urology","Female","H.035-039",32719
"acute",2020,"Hospital one","South","Urology","Female","I.040-044",31880
"acute",2020,"Hospital one","South","Urology","Female","J.045-049",55613
"acute",2020,"Hospital one","South","Urology","Female","K.050-054",62398
"acute",2020,"Hospital one","South","Urology","Female","L.055-059",77391
"acute",2020,"Hospital one","South","Urology","Female","M.060-064",69597
"acute",2020,"Hospital one","South","Urology","Female","N.065-069",80983
